artist,title,release_date,genres
Nicky Youre,Eyes On You,2022-11-18,{pop}
Selena Gomez,My Mind & Me,2022-11-03,"{""dance pop"",pop,""post-teen pop""}"
"Galantis, David Guetta & MNEK",Damn (You’ve Got Me Saying),,
Tiësto & Tate McRae,10:35,2022-11-03,"{""big room"",brostep,""dance pop"",""dutch edm"",edm,house,pop,""pop dance"",""slap house"",trance,""tropical house""}"
Mimi Webb,Ghost of You,2022-10-07,"{""alt z"",""dance pop"",""gen z singer-songwriter"",pop,""post-teen pop"",""uk pop""}"
RAYE,Escapism. (feat. 070 Shake),2022-10-12,"{""dance pop"",pop,""pop dance"",""post-teen pop"",""tropical house"",""uk contemporary r&b"",""uk pop""}"
Isabel LaRosa,i'm yours,2022-10-28,"{hyperpop,pop}"
Alesso & Zara Larsson,Words,2022-09-09,"{""dance pop"",edm,""electro house"",pop,""pop dance"",""tropical house""}"
Lizzo,About Damn Time,2022-04-14,"{""escape room"",""minnesota hip hop"",pop,""trap queen""}"
Carly Rae Jepsen,The Loneliest Time (feat. Rufus Wainwright),2022-10-07,"{""canadian pop"",""dance pop"",pop,""post-teen pop""}"
Natalie Jane,AVA,2022-11-18,"{""alt z""}"
Benson Boone,NIGHTS LIKE THESE,2022-07-29,{pop}
"Zedd, Maren Morris & BEAUZ",Make You Say,2022-08-19,"{complextro,""dance pop"",edm,""electro house"",""german techno"",pop,""pop dance"",""pop rap"",""post-teen pop"",""tropical house""}"
Meduza & James Carter,Bad Memories (feat. Elley Duhé & FAST BOY),2022-07-22,"{""dance pop"",edm,""electro house"",pop,""pop dance"",""pop house"",""tropical house""}"
Marshmello & Khalid,Numb,2022-07-06,{8-bit}
24kGoldn,Mistakes,2022-09-30,"{""cali rap"",pop,""pop rap"",rap}"
FLETCHER & Kelsea Ballerini,Better Version,2022-11-18,"{""alt z"",""dance pop"",electropop,pop,""post-teen pop""}"
Michael Jackson,P.Y.T. (Pretty Young Thing),2008-02-08,"{pop,r&b,soul}"
Jessie Murph,If I Died Last Night,2022-11-04,"{""alt z"",pop}"
AJR,The DJ Is Crying For Help,2022-11-18,"{""modern rock""}"
Sabrina Carpenter,Nonsense,2022-07-15,"{""alt z"",""dance pop"",pop,""post-teen pop""}"
Taylor Swift,Vigilante Shit,2022-10-21,{pop}
Saint Harison,why didn't you call???,2022-11-02,{}
Justin Bieber,Boyfriend,2012-01-01,"{""canadian pop"",pop}"
Gryffin,Forever (feat. Elley Duhé),2022-10-28,"{""dance pop"",edm,pop,""pop dance"",""tropical house""}"
Aidan Bissett,Tripping Over Air,2022-09-09,"{""gen z singer-songwriter""}"
FLETCHER,Suckerpunch,2022-11-04,"{""alt z"",""dance pop"",electropop,pop,""post-teen pop""}"
Tai Verdes,how deep?,2022-08-26,"{""modern indie pop"",pop}"
Jessie Murph,While You're At It,2022-09-09,"{""alt z"",pop}"
ILLENIUM & MAX,Worst Day,2022-10-21,"{edm,""melodic dubstep"",pop,""pop dance"",""tropical house""}"
The 1975,About You,2022-10-14,"{""modern alternative rock"",""modern rock"",pop,rock}"
charlieonnafriday,Enough,2022-08-05,"{""pop rap""}"
Avril Lavigne,I’m a Mess (with YUNGBLUD),2022-11-03,"{""canadian pop"",""candy pop"",""dance pop"",pop,""post-teen pop""}"
Charlie Puth,Charlie Be Quiet!,2022-10-06,"{""dance pop"",pop,""viral pop""}"
Joji,Die For You,2022-11-04,"{""viral pop""}"
Bazzi,Heaven,2022-09-16,"{""dance pop"",electropop,pop}"
Ava Max,Weapons,2022-11-10,"{""dance pop"",pop}"
Mike Posner,I'm Not Dead Yet,2022-09-23,"{""dance pop"",edm,pop,""pop rap""}"
Gryffin & Olivia O'Brien,Caught Up,2022-06-15,{8-bit}
Chloe George,Penny,2022-11-02,{}
Ellie Goulding,Let It Die,2022-10-19,"{""dance pop"",edm,electropop,indietronica,metropopolis,pop,""post-teen pop"",""uk pop""}"
Ellie Goulding,Easy Lover (feat. Big Sean),2022-07-15,"{""dance pop"",edm,electropop,indietronica,metropopolis,pop,""post-teen pop"",""uk pop""}"
Ava Max,Million Dollar Baby,2022-09-01,"{""dance pop"",pop}"
Lizzo,2 Be Loved (Am I Ready),2022-07-15,"{""escape room"",""minnesota hip hop"",pop,""trap queen""}"
Khalid,Satellite,2022-09-23,"{pop,""pop r&b""}"
P!nk,Never Gonna Not Dance Again,2022-11-04,"{""dance pop"",pop}"
Benson Boone,Before You,2022-10-28,{pop}
Nicky Youre & Dazy,Sunroof,2022-05-04,{}
Nessa Barrett,dear god,2022-10-14,"{""alt z"",pop,""social media pop""}"
Charlie Puth,Loser,2022-10-06,"{""dance pop"",pop,""viral pop""}"
Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),2022-09-22,"{""lgbtq+ hip hop"",pop}"
charlieonnafriday,Hallelujah,2020-09-25,"{""contemporary country"",country,""country dawn"",""oklahoma country"",pop}"
Elton John & Britney Spears,Hold Me Closer,2022-08-26,"{""glam rock"",""mellow gold"",""piano rock""}"
Ed Sheeran,Celestial,2022-09-29,"{pop,""uk pop""}"
charlieonnafriday,After Hours,2022-04-29,"{""pop rap""}"
Lewis Capaldi,Forget Me,2022-09-09,"{pop,""uk pop""}"
Charlie Puth & Jung Kook,Left and Right,2022-06-24,"{""dance pop"",pop,""viral pop""}"
Nessa Barrett,tired of california,2022-10-07,"{""alt z"",pop,""social media pop""}"
Amelia Moore,This Christmas,2022-06-03,"{""alt z""}"
Cafuné,Tek It,2019,"{""brooklyn indie""}"
The 1975,I'm In Love With You,2022-10-14,"{""modern alternative rock"",""modern rock"",pop,rock}"
Arlo Parks,Softly,2022-02-01,"{""alternative r&b"",""indie soul"",""uk contemporary r&b""}"
Chiiild,Bon Voyage,2022-11-09,"{""indie r&b""}"
Cautious Clay,Puffer,2022-06-15,"{""indie r&b"",""nyc pop""}"
PinkPantheress,Do you miss me?,2022-11-15,{}
Fred again..,Danielle (smile on my face),2022-09-14,"{edm,house}"
piri & Tommy Villiers,on & on,2022-07-28,{}
RAYE,Escapism. (feat. 070 Shake),2022-10-12,"{""dance pop"",pop,""pop dance"",""post-teen pop"",""tropical house"",""uk contemporary r&b"",""uk pop""}"
BENEE,Beach Boy,2022-03-04,"{""alt z"",""nz pop"",pop}"
Lauv,All 4 Nothing (I'm So In Love),2022-08-05,{pop}
spill tab,CRÈME BRÛLÉE!,2022-11-08,"{""indie pop"",""indie r&b"",""modern indie pop""}"
d4vd,Romantic Homicide,2022-07-20,"{""bedroom pop""}"
UMI,whatever u like,2022-05-26,"{""bedroom soul"",""chill r&b"",""indie r&b"",pop,r&b}"
girl in red,October Passed Me By,2022-10-14,"{""bedroom pop"",""indie pop"",""norwegian indie"",pop}"
Jeremy Zucker,I'm So Happy (feat. BENEE),2022-09-16,"{electropop,pop}"
hemlocke springs,Girlfriend,2022-11-02,{}
Fousheé,spend the money (feat. Lil Uzi Vert),2022-11-16,"{""indie r&b""}"
WILLOW,Wait a Minute!,2015-01-11,"{afrofuturism,pop,""post-teen pop""}"
Labrinth,Kill For Your Love,2022-09-09,"{""indie poptimism"",pop}"
Montell Fish,Hotel,2022-09-16,"{""pittsburgh rap"",pop}"
Steve Lacy,Static,2022-07-15,{afrofuturism}
Syd,Out Loud (feat. Kehlani),2022-04-08,"{""alternative r&b"",""indie r&b"",""indie soul"",""lgbtq+ hip hop"",r&b}"
chloe moriondo,Fruity,2022-10-07,"{""alt z"",""bedroom pop"",""indie pop""}"
Tai Verdes,TWO SUGARS,2022-09-16,"{""modern indie pop"",pop}"
FLETCHER,Becky's So Hot,2022-09-16,"{""alt z"",""dance pop"",electropop,pop,""post-teen pop""}"
Harry Styles,Music For a Sushi Restaurant,2022-05-20,{pop}
Anees,Sun and Moon,2022-04-06,{}
Dayglow,Then It All Goes Away,2022-10-07,"{austindie,""indie rock"",""modern rock""}"
JAWNY,strawberry chainsaw,2022-08-01,"{""bedroom pop"",""indie pop""}"
Holly Humberstone,Can You Afford To Lose Me?,2022-10-24,"{""alt z"",""indie pop"",""modern alternative pop"",""uk pop""}"
BROCKHAMPTON,Big Pussy,2022-11-04,"{""boy band"",""hip hop"",rap}"
Omar Apollo,Evergreen (You Didn’t Deserve Me At All),2022-04-08,"{""bedroom pop"",""bedroom soul"",pop,r&b}"
beabadoobee,The Perfect Pair,2022-07-15,"{""bedroom pop"",bubblegrunge,""indie pop"",pop}"
Dijon,The Dress,2021-11-05,"{""bedroom soul"",""indie r&b""}"
mazie,dumb dumb,2021-08-25,"{""modern indie pop""}"
Emotional Oranges & Unusual Demont,Cardigan,2022-09-21,"{""indie r&b"",pop}"
SoFaygo,Another One,2022-11-11,"{glitchcore,plugg,rap,trap,""vapor trap""}"
Shygirl,Firefly,2022-09-30,"{""alternative r&b"",""art pop"",""dance pop"",electra,electropop,""escape room"",grimewave,hyperpop,pop}"
Frank Ocean,Lost,2012-07-10,"{""hip hop"",""lgbtq+ hip hop"",""neo soul"",pop}"
Billie Eilish & Khalid,lovely,2022-11-08,{}
Lil Yachty,Poland,2022-10-11,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,trap,""underground hip hop"",""viral rap""}"
Suki Waterhouse,Good Looking,2022-08-18,"{""indie pop""}"
Raveena,Mystery,2022-02-11,"{""alternative r&b"",""chill r&b"",""indie r&b"",""indie soul""}"
Harry Styles,Late Night Talking,2022-05-20,{pop}
WILLOW,curious/furious,2022-09-09,"{afrofuturism,pop,""post-teen pop""}"
GAYLE,fmk (with blackbear),2022-09-16,"{""modern alternative pop""}"
Jean Dawson & Earl Sweatshirt,Bad Fruit*,2022-10-05,"{""modern indie pop""}"
mxmtoon,coming of age,2022-05-20,"{""alt z"",""bedroom pop"",""indie pop""}"
George Michael,Jesus to a Child,1996-05-13,"{""new wave pop""}"
Daniel Caesar,Please Do Not Lean (feat. BADBADNOTGOOD),2022-04-22,"{""canadian contemporary r&b"",pop,r&b}"
quinnie,touch tank,2022-08-26,"{""bedroom pop"",""indie pop""}"
Jackson Wang,Blue,2022-09-09,{}
PinkPantheress,Where you are (feat. WILLOW),2022-04-22,{}
FINNEAS,"Mona Lisa, Mona Lisa",2022-07-15,"{""alt z"",electropop,""la indie"",pop}"
Joji,Glimpse of Us,2022-06-10,"{""viral pop""}"
Djo,Change,2022-09-16,"{""modern rock"",""psychedelic pop""}"
Gracie Abrams,Difficult,2022-10-07,"{""alt z"",""indie pop"",pop}"
The Kid LAROI,Thousand Miles,2022-04-22,"{""australian hip hop"",pop}"
Glass Animals,Heat Waves,2020-08-06,"{""gauze pop"",indietronica,""shiver pop""}"
GIVĒON,Lie Again,2022-06-24,"{pop,r&b}"
Billie Eilish,TV,2022-07-21,"{""art pop"",electropop,pop}"
Clairo,Amoeba,2021-07-16,"{""bedroom pop"",""indie pop"",pop}"
YUNGBLUD,Tissues,2022-08-30,"{""british indie rock"",""modern rock"",rock}"
Yung Gravy,Betty (Get Money),2022-06-10,"{""minnesota hip hop""}"
Yeat,Flawlëss (feat. Lil Uzi Vert),2022-09-09,{pluggnb}
Kate Bush,Running Up That Hill (A Deal with God),1985-09-16,"{""art pop"",""art rock"",""baroque pop"",""new wave pop"",""permanent wave"",""piano rock"",singer-songwriter}"
Katie Gregson-MacLeod,complex (demo),2022-08-26,{}
Oasis,Wonderwall (Remastered),1995,"{beatlesque,britpop,madchester,""permanent wave"",""pop rock"",rock}"
No Doubt,Just a Girl,1995-10-10,"{""alternative rock"",""dance pop"",""dance rock"",""permanent wave"",""pop rock""}"
TLC,No Scrubs,1999-02-23,"{""atl hip hop"",""contemporary r&b"",""dance pop"",""girl group"",""hip hop"",""hip pop"",r&b,""urban contemporary""}"
Ricky Martin,Livin' la Vida Loca,1999,"{""latin pop"",""mexican pop"",""puerto rican pop""}"
Smash Mouth,All Star,1999-06-08,"{""alternative rock"",""pop rock""}"
Ace of Base,The Sign (Remastered),1993-12-24,"{""bubblegum dance"",""dance pop"",eurodance,europop,""pop rock""}"
Madonna,Vogue (Edit Version),2010-02-01,{karaoke}
Counting Crows,Mr. Jones,1993-01-01,"{""alternative rock"",""neo mellow"",""pop rock"",rock}"
Mariah Carey,Fantasy,1995-10-03,"{""dance pop"",pop,""urban contemporary""}"
The Cardigans,Lovefool,1996-01-01,"{""dance pop"",lilith,""new wave pop"",""permanent wave"",""pop rock"",""swedish pop""}"
The Notorious B.I.G.,Juicy (2007 Remaster),2007-03-05,"{""east coast hip hop"",""gangster rap"",""hardcore hip hop"",""hip hop"",rap}"
Spice Girls,Wannabe (Radio Edit),2022-07-26,{}
Blackstreet,No Diggity (feat. Dr. Dre & Queen Pen),1996-09-09,"{""boy band"",""contemporary r&b"",""dance pop"",""hip hop"",""hip pop"",""neo soul"",""new jack swing"",""pop rap"",""quiet storm"",r&b,""urban contemporary""}"
Aaliyah,Back & Forth,1994-05-22,"{""contemporary r&b"",""dance pop"",""hip pop"",""neo soul"",r&b,""urban contemporary""}"
Destiny's Child,Say My Name,1999-07-27,"{""dance pop"",""girl group"",""hip pop"",pop,r&b,""urban contemporary""}"
TLC,Waterfalls,1994-11-15,"{""atl hip hop"",""contemporary r&b"",""dance pop"",""girl group"",""hip hop"",""hip pop"",r&b,""urban contemporary""}"
Ginuwine,Pony,1999-10-08,{}
C+C Music Factory,Gonna Make You Sweat (Everybody Dance Now),1990,"{""diva house"",eurodance,""hip house""}"
No Doubt,Don't Speak,1995-10-10,"{""alternative rock"",""dance pop"",""dance rock"",""permanent wave"",""pop rock""}"
Janet Jackson,That's the Way Love Goes,1993-05-18,"{""dance pop"",""hip pop"",r&b,""urban contemporary""}"
Dr. Dre,Nuthin' but a G thang (feat. Snoop Dogg) [Mixed],1998-01-01,{}
Hanson,MMMBop,1997-01-01,"{""boy band"",""dance pop"",""pop rock""}"
Bell Biv DeVoe,Poison (Hip Hop Mix),1990-03-20,"{""boy band"",""contemporary r&b"",""hip hop"",""hip pop"",""new jack swing"",""quiet storm"",r&b,""urban contemporary""}"
Mary J. Blige,Real Love,1992-01-01,"{""dance pop"",""hip pop"",""neo soul"",r&b,""urban contemporary""}"
Tag Team,Whoomp! There It Is,1993-05-07,"{""atlanta bass"",""miami bass""}"
Marc Cohn,Walking In Memphis,1991-02-08,"{""mellow gold"",singer-songwriter}"
Prince,Thieves In the Temple,1990-08-17,"{funk,""funk rock"",""minneapolis sound"",""synth funk""}"
Snap!,The Power,1990-01-01,"{""diva house"",eurodance,europop,""german techno"",""hip house""}"
Michael Jackson,Remember the Time,1991-11-13,"{pop,r&b,soul}"
Wilson Phillips,Hold On,1990-05-08,"{""girl group"",""mellow gold"",""new wave pop"",""soft rock""}"
Ghost Town DJs,My Boo (Hitman's Club Mix),1996-03-26,"{""atlanta bass""}"
Everything But the Girl & Todd Terry,Missing (Todd Terry Club Mix / Us Radio Edit),1994-06-13,"{electronica,""new wave pop"",""pop rock"",sophisti-pop,""trip hop""}"
Beastie Boys,Intergalactic,1998-07-14,"{""alternative rock"",""east coast hip hop"",""golden age hip hop"",""hip hop"",""old school hip hop"",rap,""rap rock"",rock}"
DJ Jazzy Jeff & The Fresh Prince,Summertime,1991-07-09,"{""gangster rap"",""golden age hip hop"",""hip hop"",""old school hip hop"",""philly rap"",rap}"
En Vogue,Hold On,1990-04-03,"{""contemporary r&b"",""dance pop"",""girl group"",""hip hop"",""hip pop"",""neo soul"",r&b,""urban contemporary""}"
George Michael,Freedom! '90,2017-10-20,"{""new wave pop""}"
Quad City DJ's,C'mon N' Ride It (The Train) [Dance Remix],2022-11-25,{}
Gin Blossoms,Hey Jealousy,1992-01-01,"{""alternative rock"",""neo mellow"",""permanent wave"",""pop rock"",post-grunge,rock,""tempe indie""}"
Warren G,"Regulate (feat. Nate Dogg, Destructo & Motif) [Destructo & Wax Motif Remix]",1994-06-07,"{""g funk"",""gangster rap"",""hardcore hip hop"",""hip hop"",""pop rap"",rap,""west coast rap""}"
Haddaway,What Is Love,1993-09-13,"{""bubblegum dance"",eurodance,europop,""hip house""}"
Puff Daddy,I'll Be Missing You (feat. Faith Evans & 112) [2014 Remaster],1997,"{""dance pop"",""east coast hip hop"",""hip hop"",""hip pop"",""pop rap"",r&b,rap}"
House of Pain,Jump Around (30 Years Remaster),2022-07-22,"{""gangster rap"",""hardcore hip hop"",""hip hop"",rap,""rap rock"",""west coast rap""}"
Ini Kamoze,Here Comes the Hotstepper (Heartical Mix),1994,"{dub,reggae,""reggae fusion"",""roots reggae""}"
Prince & The New Power Generation,7,1992-10-13,"{funk,""funk rock"",""minneapolis sound"",""synth funk""}"
George Michael,"Fastlove, Pt. 1",1996-05-13,"{""new wave pop""}"
The Rembrandts,I'll Be There for You (Theme from Friends),1995-05-02,"{""pop rock""}"
Will Smith,Gettin' Jiggy Wit It,1997-10-03,"{""dance pop"",""hip hop"",""pop rap""}"
Jewel,You Were Meant For Me,1995-02-28,"{""alaska indie"",lilith,""permanent wave"",""pop rock"",singer-songwriter}"
Kris Kross,Jump,1992-03-17,"{""hip hop"",""old school atlanta hip hop"",rap}"
Enrique Iglesias,Bailamos,1999-11-23,"{""latin pop"",""mexican pop""}"
CeCe Peniston,Finally,1992-01-01,"{disco,""diva house"",""hip house"",""urban contemporary"",""vocal house""}"
Boyz II Men,Motownphilly,1991-04-30,"{""boy band"",""contemporary r&b"",""new jack swing"",r&b,""urban contemporary""}"
LEN,Steal My Sunshine,1999-05-25,"{""canadian rock"",""pop rock""}"
Sir Mix-A-Lot,Baby Got Back,1992-01-01,"{""gangster rap"",""hip hop"",""old school hip hop"",""pop rap"",rap}"
Donna Lewis,I Love You Always Forever,1996-04-16,"{""new wave pop"",""pop rock""}"
OMC,How Bizarre,1996-01-01,"{""nz pop"",""pop rock""}"
Smash Mouth,All Star,1999-06-08,"{""alternative rock"",""pop rock""}"
Daft Punk,Around the World (Radio Edit),1997-04-11,"{electro,""filter house""}"
Cher,Believe,1998,"{""dance pop"",hollywood,""new wave pop"",pop}"
En Vogue & Salt-N-Pepa,Whatta Man,1993-10-12,"{""dance pop"",""girl group"",""golden age hip hop"",""hip hop"",""hip pop"",""old school hip hop"",""pop rap"",""queens hip hop""}"
Savage Garden,I Want You,1997-03-04,"{""australian pop"",""boy band"",""dance pop"",europop,""pop rock""}"
Dido,Thank You,1999-06-01,"{""pop rock""}"
Color Me Badd,I Adore Mi Amor,1991-07-23,"{""boy band"",""contemporary r&b"",""new jack swing"",r&b,""urban contemporary""}"
Alanis Morissette,Hand In My Pocket,1995,"{""canadian pop"",""canadian singer-songwriter"",""pop rock"",singer-songwriter}"
The Notorious B.I.G.,Hypnotize (2005 Remaster),2022-06-10,"{""east coast hip hop"",""gangster rap"",""hardcore hip hop"",""hip hop"",rap}"
Matchbox Twenty,3 am,1996-10-01,"{""neo mellow"",""pop rock"",post-grunge}"
Prince & The New Power Generation,Cream,1991-10-01,"{funk,""funk rock"",""minneapolis sound"",""synth funk""}"
UB40,(I Can't Help) Falling in Love With You,1993-01-01,"{""reggae fusion"",""uk reggae""}"
Depeche Mode,Enjoy the Silence,2020-07-17,"{""dance rock"",""new romantic"",""new wave"",""permanent wave"",synthpop}"
Black Box,Strike It Up,1990-04-09,"{""diva house"",eurodance,europop,""hip house"",""italo house"",""new wave pop""}"
Wreckx-n-Effect,Rump Shaker,1992-01-01,"{""new jack swing""}"
Spin Doctors,Two Princes,1991-08-27,"{""alternative rock"",""pop rock"",rock}"
Skee-Lo,I Wish,1995-09-02,"{""hip hop"",rap,""west coast rap""}"
B*Witched,C'est La Vie,1998-03-25,"{""bubblegum dance"",""dance pop"",europop,""girl group""}"
Snow,Informer,1993,"{""canadian old school hip hop"",""reggae fusion""}"
Bizarre Inc,I'm Gonna Get You (Original Remix Version),1996-07-16,{}
Green Day,When I Come Around,1994-02-01,"{""permanent wave"",punk}"
Sixpence None the Richer,Kiss Me,1997-11-22,"{""neo mellow"",""pop rock""}"
Naughty By Nature,O.P.P,1991-09-03,"{""east coast hip hop"",""gangster rap"",""hardcore hip hop"",""hip hop"",""hip pop"",""new jersey rap"",""pop rap"",rap}"
Fatboy Slim,Praise You,2006-01-01,"{""big beat""}"
Corona,Rhythm of the Night,1995,"{""bubblegum dance"",""diva house"",eurodance,europop,""hip house""}"
Des'ree,You Gotta Be,1994-04-27,"{europop,""new wave pop"",""pop rock""}"
Duran Duran,Come Undone,1993-02-15,"{""dance rock"",""new romantic"",""new wave"",""new wave pop"",rock,synthpop}"
Bobby Brown,Humpin' Around,1992-08-24,"{""contemporary r&b"",funk,""hip hop"",""new jack swing"",""quiet storm"",r&b,""urban contemporary""}"
EMF,Unbelievable,1991-05-07,"{britpop,""dance rock"",grebo,indietronica,madchester}"
The Cranberries,Dreams (Dave Fanning RTÉ Radio Session),1993-03-01,"{""irish rock"",""pop rock""}"
Saint Etienne,Only Love Can Break Your Heart,1992-01-10,"{""art pop"",britpop,""dream pop"",electronica,electropop,""new wave pop""}"
Mariah Carey,Dreamlover,1993-08-31,"{""dance pop"",pop,""urban contemporary""}"
Amy Shark,All the Lies About Me,2021-04-30,"{""australian pop""}"
Prince & The New Power Generation,Diamonds and Pearls,1991-10-01,"{funk,""funk rock"",""minneapolis sound"",""synth funk""}"
Coolio,Gangsta's Paradise (feat. L.V.),2013,{}
Spice Girls,Spice Up Your Life,1997-01-01,"{""dance pop"",europop,""girl group""}"
SWV,Right Here (Human Nature Radio Mix),1992-10-27,"{""contemporary r&b"",""girl group"",""hip hop"",""hip pop"",""neo soul"",""new jack swing"",""quiet storm"",r&b,""urban contemporary""}"
k.d. lang,Constant Craving,2010,"{""canadian country"",""canadian pop"",""canadian singer-songwriter"",folk,lilith,""mellow gold"",""new wave pop"",""permanent wave"",""queer country"",singer-songwriter,""women's music""}"
Paula Cole,Where Have All the Cowboys Gone? (Album Version),1996,"{ectofolk,lilith,""new wave pop"",""pop rock"",singer-songwriter}"
Ace of Base,All That She Wants (Remastered),1993-12-24,"{""bubblegum dance"",""dance pop"",eurodance,europop,""pop rock""}"
Barenaked Ladies,One Week,1998-07-07,"{""canadian pop"",""canadian rock"",comic,""pop rock""}"
JP Saxe,The Good Parts,2022-11-17,"{""alt z"",""canadian contemporary r&b"",""neo mellow"",pop}"
Dean Lewis,How Do I Say Goodbye,2022-08-31,"{""australian pop"",pop}"
Lauren Spencer Smith,Flowers,2022-04-14,"{""alt z"",""gen z singer-songwriter"",pop,""post-teen pop""}"
Jessie Murph,How Could You,2022-10-14,"{""alt z"",pop}"
Joshua Bassett,would you love me now?,2022-10-06,"{pop,""post-teen pop""}"
Jessie Murph,Pray,2022-02-18,"{""alt z"",pop}"
Tate McRae,you broke me first,2020-04-17,{pop}
Whitney Houston,I Will Always Love You,1992-11-17,"{""dance pop"",pop,""urban contemporary""}"
Tate McRae,chaotic,2022-05-27,{pop}
James TW,Hopeless Romantics,2022-04-29,"{""neo mellow"",pop,""pop rock"",""post-teen pop"",""uk pop""}"
Benson Boone,GHOST TOWN,2021-10-15,{pop}
JP Saxe,A Little Bit Yours,2020-09-02,"{""alt z"",""canadian contemporary r&b"",""neo mellow"",pop}"
Zoe Wees,Hold Me Like You Used To,2021-05-21,"{""german pop""}"
LOVA,Lonely Ones,2021-02-26,"{""swedish pop""}"
Duncan Laurence,Arcade,2019-03-07,"{""dutch pop""}"
Noah Cyrus,Lonely,2020-05-15,"{pop,""post-teen pop""}"
Mimi Webb,Dumb Love,2021-06-11,"{""alt z"",""dance pop"",""gen z singer-songwriter"",pop,""post-teen pop"",""uk pop""}"
Tate McRae,tear myself apart,2019-08-28,{pop}
Lauren Spencer Smith,Narcissist,2022-07-29,"{""alt z"",""gen z singer-songwriter"",pop,""post-teen pop""}"
Danielle Bradbery,Break My Heart Again,2022-01-14,"{""contemporary country"",country,""country pop""}"
Zzz.,All I Never Wanted,2022-10-27,{}
Hailee Steinfeld,Wrong Direction,2020-05-08,"{""dance pop"",pop,""post-teen pop""}"
Faouzia & John Legend,Minefields,2020-11-19,{}
Conan Gray,Family Line,2022-06-24,"{""bedroom pop"",pop}"
Selena Gomez,Lose You to Love Me,2020-01-10,"{""dance pop"",pop,""post-teen pop""}"
Lloyiso,Speak,2022-04-01,"{""afro soul"",""south african pop""}"
Mimi Webb,24/5,2021-10-22,"{""alt z"",""dance pop"",""gen z singer-songwriter"",pop,""post-teen pop"",""uk pop""}"
James Arthur,Train Wreck,2016-10-28,"{pop,""talent show"",""uk pop""}"
Dean Lewis,Be Alright,2018-06-29,"{""australian pop"",pop}"
Mimi Webb,Good Without,2021-03-26,"{""alt z"",""dance pop"",""gen z singer-songwriter"",pop,""post-teen pop"",""uk pop""}"
Alessia Cara,Out of Love,2018-11-30,"{""canadian contemporary r&b"",""canadian pop"",""dance pop"",pop,""post-teen pop""}"
Jessie Murph,I Would've,2022-05-20,"{""alt z"",pop}"
Forest Blakk,Foolish,2020-08-21,{}
JP Saxe,When You Think Of Me,2022-09-23,"{""alt z"",""canadian contemporary r&b"",""neo mellow"",pop}"
quinnie,man,2022-09-30,"{""bedroom pop"",""indie pop""}"
Kelsea Ballerini,the way i used to (ballerini album version),2020-09-11,"{""contemporary country"",country,pop}"
Clinton Kane,CHICKEN TENDIES,2021-02-19,"{""alt z"",""gen z singer-songwriter"",pop,""post-teen pop""}"
Wild Rivers,Thinking 'bout Love (feat. Wrabel),2022-03-11,"{folk-pop,""indie folk"",indiecoustica,""neo mellow"",""stomp and holler""}"
Conan Gray,Yours,2022-06-24,"{""bedroom pop"",pop}"
Emily Weisband,Out of This Car,2020-10-23,"{""nashville singer-songwriter""}"
Cian Ducrot,All For You,2022-04-07,"{""irish pop""}"
Joe Jonas & Khalid,Not Alone (from Devotion),2022-11-11,"{""post-teen pop""}"
JESSIA,Next Time,2022-03-25,"{""alt z""}"
Sam Smith,Stay With Me,2014-05-26,"{""dance pop"",pop,""uk pop""}"
Dylan Conrique,get over you,2022-09-28,"{""alt z"",""social media pop""}"
Ingrid Andress,Pain,2022-06-15,"{""contemporary country"",country,""country pop""}"
Ella Henderson,Hold On Me,2019-11-08,"{""dance pop"",pop,""pop dance"",""post-teen pop"",""talent show"",""tropical house"",""uk pop""}"
Dermot Kennedy,Innocence and Sadness,2022-11-18,"{folk-pop,""irish pop"",pop}"
Joshua Bassett,Lifeline,2022-09-23,"{pop,""post-teen pop""}"
Olivia Rodrigo,drivers license,2021-05-21,{pop}
Ashley Kutcher,Emotionless,2022-10-21,"{""alt z"",""gen z singer-songwriter"",pop}"
GIVĒON,Another Heartbreak,2022-06-24,"{pop,r&b}"
Lewis Capaldi,Someone You Loved,2019-05-17,"{pop,""uk pop""}"
Matt Hansen,Break My Heart,2022-09-02,"{""gen z singer-songwriter""}"
Catie Turner,(Wish I Didn't Have to) Lie [feat. JORDY],2021-10-13,"{""alt z"",""gen z singer-songwriter"",""indie pop""}"
Lauren Spencer Smith,Fingers Crossed,2022-01-05,"{""alt z"",""gen z singer-songwriter"",pop,""post-teen pop""}"
Gabby Barrett,I Hope (feat. Charlie Puth),2020-06-19,"{""contemporary country"",country,""country pop""}"
Griff,Love Is A Compass (Disney supporting Make-A-Wish),2022-11-25,{}
Joshua Bassett,Crisis,2021-12-03,"{pop,""post-teen pop""}"
Gracie Abrams,"I miss you, I’m sorry",2020-07-14,"{""alt z"",""indie pop"",pop}"
Sarah Proctor,Not For Me,2021-10-22,"{""uk pop""}"
Lauren Daigle,You Say,2018-09-07,"{ccm,""christian alternative rock"",""christian music"",worship}"
Sasha Alex Sloan,when was it over? (feat. Sam Hunt),2021-04-23,"{""alt z"",electropop,pop,""post-teen pop""}"
Abe Parker,Butterflies,2022-01-28,"{""alt z""}"
Jaymes Young,Happiest Year,2022-01-28,"{""modern rock"",pop}"
Gracie Abrams,Friend,2020-07-14,"{""alt z"",""indie pop"",pop}"
