artist,title,release_date,genres
Brent Faiyaz,ALL MINE,2022-07-08,"{""dmv rap"",""hip hop"",pop,r&b,rap}"
The Weeknd,Starboy (feat. Daft Punk),2017-01-27,{}
The Neighbourhood,Sweater Weather,2013-04-19,"{""modern alternative rock"",""modern rock"",pop,""shimmer pop""}"
Drake,I Guess It’s F**k Me,2022-11-04,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Bad Bunny,Efecto,2022-05-06,"{reggaeton,""trap latino""}"
Burl Ives,A Holly Jolly Christmas (Single Version),1965-10-01,"{""adult standards"",""american folk revival""}"
Sam DeRosa,Pill for This,2019-09-04,{}
Lil Baby,Real Spill,2022-10-14,"{""atl hip hop"",""atl trap"",rap,trap}"
Darlene Love,Christmas (Baby Please Come Home),1963,{}
RADWIMPS,Suzume (feat. Toaka),2022-09-30,"{j-pop,j-rock,""japanese emo"",""visual kei""}"
Bailey Zimmerman,Rock and a Hard Place,2022-06-10,"{""contemporary country""}"
J. Cole,No Role Modelz,2014-12-09,"{""conscious hip hop"",""hip hop"",""north carolina hip hop"",rap}"
Lil Baby,Sum 2 Prove,2020-02-28,"{""atl hip hop"",""atl trap"",rap,trap}"
Burna Boy,Alone,2022-11-11,"{""barbadian pop"",""dance pop"",pop,""urban contemporary""}"
Summer Walker,Karma,2018-10-19,"{pop,r&b,rap}"
Drake,Nonstop,2018-06-29,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Future,Mask Off,2017-06-30,"{""atl hip hop"",""hip hop"",rap,""southern hip hop"",trap}"
Burna Boy,Last Last,2022-07-07,"{""afro dancehall"",dancehall,""nigerian hip hop"",""nigerian pop""}"
Drake,God's Plan,2018-06-29,"{""canadian hip hop"",""canadian pop"",""hip hop"",rap,""toronto rap""}"
Taylor Swift,Mastermind,2022-10-22,{pop}
Chris Brown,No Guidance (feat. Drake),2019-06-28,"{""dance pop"",pop,r&b}"
Luke Combs,The Kind of Love We Make,2022-06-17,"{""contemporary country"",country}"
Ed Sheeran,Perfect,2017-03-03,"{pop,""uk pop""}"
YOASOBI,The Blessing,2022-11-18,"{j-pop,""japanese teen pop""}"
Jung Kook,Dreamers (Music from the FiFA World Cup Qatar 2022 Official Soundtrack),2022-11-20,{k-pop}
Future,Solo,2017-07-27,"{""atl hip hop"",""hip hop"",rap,""southern hip hop"",trap}"
Tani Yuuki,Mouichido,2022-09-21,"{j-pop,""japanese teen pop""}"
Rod Wave,Got It Right,2022-11-18,"{""florida rap""}"
Quavo & Takeoff,HOTEL LOBBY (Unc & Phew),2022-10-07,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,""southern hip hop"",trap}"
Future,PUFFIN ON ZOOTIEZ,2022-04-29,"{""atl hip hop"",""hip hop"",rap,""southern hip hop"",trap}"
Nas & 21 Savage,"One Mic, One Gun",,
Roddy Ricch,Stop Breathing,2022-09-30,"{""melodic rap"",rap,trap}"
Lil Baby,In A Minute,2022-04-07,"{""atl hip hop"",""atl trap"",rap,trap}"
Quavo & Takeoff,Nothing Changed,2022-10-17,{}
Gunna,25k jacket (feat. Lil Baby),2022-01-13,"{""atl hip hop"",""hip hop"",""melodic rap"",rap,trap}"
Lil Baby,Detox,2022-09-02,"{""atl hip hop"",""atl trap"",rap,trap}"
Kodak Black,300 Blackout,2022-10-28,"{""florida rap"",""hip hop"",""melodic rap"",""miami hip hop"",rap,trap}"
